Dia,Plataforma,Tema,Formato,Hook,Horario,Hashtags,CTA,Duracion_Video
Lunes,Instagram,Motivación/Inicio semana,Carrusel educativo,"Así empezamos la semana en HELM...",11:00,"#HELM #LunesMotivacion #Productividad #Equipo #Semana","¿Cómo empiezas tu lunes?",N/A
Lunes,LinkedIn,Insights profesionales,Post + documento,"3 lecciones que aprendimos...",08:30,"#HELM #Insights #Profesional #Liderazgo #Lunes","¿Cuál resuena más contigo?",N/A
Lunes,TikTok,Behind the scenes,Video vertical,"POV: Lunes en HELM",19:30,"#HELM #BehindTheScenes #Lunes #Oficina #POV","¿Tu lunes se parece?",15-30s
Martes,X/Twitter,Tips rápidos,Thread,"🧵 HILO: Cómo optimizar...",12:30,"#HELM #Tips #Thread #Marketing #Martes","RT si te fue útil",N/A
Martes,Instagram Stories,Pregunta interactiva,Encuesta/Quiz,"¿Qué prefieres?",19:00,"#HELM #Interactivo #Martes #Pregunta #Quiz","Vota en la encuesta",15s
Martes,LinkedIn,Caso de éxito,Video + texto,"Cliente resultado:",17:30,"#HELM #CasoExito #Resultados #Cliente #Exito","¿Has tenido resultados similares?",30-60s
Miércoles,YouTube,Tutorial/Educativo,Video largo,"Aprende a...",15:30,"#HELM #Tutorial #Educativo #YouTube #Miercoles","SUSCRÍBETE para más",10-20min
Miércoles,TikTok,Trend/Challenge,Video creativo,"Challenge HELM",20:00,"#HELM #Challenge #Trend #Viral #Miercoles","Hazlo y etiquétanos",15-30s
Miércoles,Instagram,Producto/Servicio,Video + carrusel,"Descubre cómo...",12:00,"#HELM #Producto #Servicio #Descubre #Solucion","DM para más info",30-60s
Jueves,LinkedIn,Opinión/Análisis,Post reflexivo,"Reflexión:",08:00,"#HELM #Opinion #Analisis #Reflexion #Jueves","¿Qué opinas tú?",N/A
Jueves,X/Twitter,Noticias sector,Retweet + comentario,"Esto cambia todo...",08:30,"#HELM #Noticias #Sector #Cambio #Actualidad","¿Cómo te afecta esto?",N/A
Jueves,Instagram Reels,Educativo rápido,Video vertical,"En 30 segundos:",20:00,"#HELM #Reels #Rapido #Tips #30Segundos","GUARDA para después",30s
Viernes,Instagram,Recap semana,Carrusel visual,"Esta semana en HELM",11:30,"#HELM #Recap #Semana #Viernes #Resumen","¿Cuál fue tu favorito?",N/A
Viernes,TikTok,Entretenimiento,Video divertido,"Viernes de...",19:00,"#HELM #Viernes #Divertido #Entretenimiento #TGIF","¿Tus planes de finde?",15-30s
Viernes,LinkedIn,Networking,Post comunidad,"Feliz viernes conectemos",17:00,"#HELM #Networking #Viernes #Comunidad #Conectar","Conectemos en LinkedIn",N/A
Sábado,YouTube,Contenido premium,Video educativo,"Masterclass:",10:00,"#HELM #Masterclass #Premium #Sabado #Educativo","LIKE si aprendiste algo",15-25min
Sábado,Instagram Stories,Lifestyle/Personal,Stories múltiples,"Sábado HELM",10:30,"#HELM #Sabado #Lifestyle #Personal #Equipo","Cuéntanos tu sábado",15s cada una
Domingo,Instagram,Inspiración,Post visual,"Domingo de reflexión",14:30,"#HELM #Domingo #Inspiracion #Reflexion #Motivacion","¿Qué te inspira?",N/A
Domingo,X/Twitter,Preparación semana,Tweet motivacional,"Lista para la nueva semana",18:00,"#HELM #Domingo #Preparacion #NuevaSemana #Listo","¿Ya estás preparado?",N/A